policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
tm_tw,20263351,100,50,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,4840.955543645339,484095.5543645339,831658.8696009937,58.208428005678485,347563.3152364598,0.38,0.57,0.23824298769099894,0.012362989896863815,2.39099833399996,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263352,100,50,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,6107.064605294949,610706.4605294949,1001182.7885259079,60.99849772973714,390476.327996413,0.47,0.68,0.24107989583892084,0.012481813653265976,2.3921158750000586,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263353,100,50,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,4126.851822231512,412685.18222315126,751271.4155873065,54.93156982427377,338586.2333641552,0.33,0.55,0.2396430477081957,0.012462550290164472,2.4480000000000928,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263354,100,50,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,5380.329989963943,538032.9989963943,1305219.330242568,41.221654210132165,767186.3312461736,0.3,0.51,0.2382578583009596,0.012335307621119028,2.4002897080000594,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw_refined,20262393,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7409.717037909178,740971.7037909179,909492.5867111412,81.47088988051902,168520.8829202233,0.55,0.7,0.3042037564917478,0.0156858217906418,1.0032840000000078,tm_tw_refined_dense,context_noise_refinement
tm_tw_refined,20262394,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8766.278299694624,876627.8299694625,999157.1921761848,87.7367281979074,122529.36220672226,0.5,0.74,0.31133970948333,0.0161162876507014,1.010548083000003,tm_tw_refined_dense,context_noise_refinement
tm_tw_refined,20262395,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8669.019609645393,866901.9609645392,1093635.1533926057,79.26793119947642,226733.1924280665,0.53,0.72,0.3047290453694874,0.015713695224535,1.055299749999989,tm_tw_refined_dense,context_noise_refinement
tm_tw_refined,20262396,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7357.56053646212,735756.053646212,810883.6514085878,90.73509527145212,75127.59776237584,0.67,0.9,0.30238521695541415,0.01568125693152004,1.0075264999999263,tm_tw_refined_dense,context_noise_refinement
tm_tw_refined,20262397,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7244.829341420866,724482.9341420865,1005576.5951171365,72.046519147325,281093.66097504995,0.51,0.73,0.3050478399912471,0.015797621308040175,0.996432958000014,tm_tw_refined_dense,context_noise_refinement
tm_tw_refined,20262398,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5840.983670950571,584098.367095057,918329.935625163,63.604413232747966,334231.568530106,0.35,0.6,0.3083611505314067,0.01589898200211819,0.99759137500007,tm_tw_refined_dense,context_noise_refinement
tm_tw_refined,20262399,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8886.20395450052,888620.3954500519,939844.224572325,94.54975326942265,51223.829122273135,0.7,0.83,0.3061797886823106,0.015736135049963722,0.9915993749999643,tm_tw_refined_dense,context_noise_refinement
tm_tw_refined,20262400,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6935.1793555805725,693517.9355580573,1051246.374902692,65.9710180329756,357728.43934463465,0.39,0.73,0.3062090917182954,0.015780379212919738,0.991897750000021,tm_tw_refined_dense,context_noise_refinement
